Column Name,Coefficient,Axis,New Brand,Sub Category,Age,next_price,Price,CAGR
Age,0.86946706,Potential,Laphroaig,Laphroaig ,10,52.3,49.7,2.71
price,62.26695536,Performance,Talisker,Talisker Skye,0,58.4,52.4,2.02
volume,0.048484429,Performance,Cardhu,Cardhu Gold Reserve,0,53.7,56.4,6.57
next_volume,-0.883059188,Performance,Laphroaig,Laphroaig Select,0,41.6,44.3,-3.21
luxury principal component 1,-0.541884664,Potential,Dalwhinnie,Dalwhinnie Winter's Gold,0,53.7,53,0.33
luxury principal component 2,-1.066893189,Potential,Lagavulin,Lagavulin ,16,73.8,65.8,5.22
Category 2_Blended Scotch,-0.614002063,Performance,The Macallan,The Macallan Gold,0,53.7,49.7,1.5
Category 3_Blended Malt,0.041453911,Performance,Glenfiddich,Glenfiddich ,15,52.3,51.1,3.95
Category 3_Blended Scotch Traditional,-0.667355544,Performance,Other,Other  Malt,0,59,57.7,2.38
Category 3_Grain Scotch,0.090919478,Performance,Balblair,Balblair,0,53.7,50.7,3.78
Category 3_Highland Malt,0.237199761,Performance,Ardbeg,Ardbeg ,10,53.3,53.7,-0.19
Category 3_Islay Malt,1.052264842,Performance,Oban,Oban ,14,64.7,66.4,5.46
Category 3_Jura Malt,0.413621347,Performance,Bunnahabhain,Bunnahabhain,12,59,57.2,3.71
Category 3_Lowland Malt,-0.890562595,Performance,Dalwhinnie,Dalwhinnie,15,52.7,52.1,0.52
Category 3_Malt Scotch Range,-1.781398148,Performance,Talisker,Talisker Storm,0,47,53.7,-2.54
Category 3_Mull Malt,0.455244649,Performance,Johnnie Walker,Johnnie Walker Gold Reserve,0,55.7,53.7,-0.62
Category 3_Orkney Malt,0.313658182,Performance,Rare Malts,Rare Malts,0,161.2,147.8,3.39
Category 3_Skye Malt,0.00804041,Performance,Scapa,Scapa,16,80.5,80.5,0
Price Band_Prestige,-15.06529843,Potential,Dalmore,Dalmore,12,56.1,54.3,2.56
Price Band_Ultra Premium,-24.78948434,Potential,Bruichladdich,Bruichladdich,0,56.1,52.3,3.81
New Brand_Auchentoshan,0.95252419,Potential,Highland Park,Highland Park Dragon Legend,0,53.7,53.7,18.92
New Brand_Balblair,-0.042322808,Potential,The Glenlivet,The Glenlivet Captain's Reserve,0,60.5,29.54,41.42
New Brand_Balvenie,-0.753429359,Potential,Johnnie Walker,Johnnie Walker Green,0,57.6,48.6,9.56
New Brand_Bunnahabhain,0.618053354,Potential,Balvenie,Balvenie,14,69.8,56.4,4.83
New Brand_Caol Ila,-0.23261747,Potential,Haig,Haig Club,0,53.7,53.7,-2.94
New Brand_Cragganmore,-0.204456772,Potential,Glenkinchie,Glenkinchie,0,52.1,38.6,2.39
New Brand_Edradour,-0.2289336,Potential,Johnnie Walker,Johnnie Walker Blue,0,181,174.3,-0.06
New Brand_Glen Elgin 12yr,-0.145231072,Potential,Lagavulin,Lagavulin ,8,68.5,33.44,41.42
New Brand_GlenDronach,0.362961577,Potential,The Macallan,The Macallan,21,502.5,396.3,10.71
New Brand_Glenfiddich,0.556136501,Potential,Glenfiddich,Glenfiddich IPA Experiment,0,60.3,60.3,18.92
New Brand_Glenmorangie,-1.56028376,Potential,Dalmore,Dalmore,15,83,70.5,5.42
New Brand_Glenturret,-0.146984577,Potential,Caol Ila,Caol Ila,12,56.5,60.1,3.31
New Brand_Highland Park,0.583654254,Potential,Glenallachie,Glenallachie,0,52.3,25.53,41.42
New Brand_Lagavulin,0.158362823,Potential,Bowmore,Bowmore Small Batch,0,50.3,50.2,18.95
New Brand_Ledaig,-0.255007477,Potential,Aberlour,Aberlour A'bunadh,0,64,65.8,18.51
New Brand_Mortlach,-0.106377826,Potential,Auchentoshan,Auchentoshan Three Wood,0,61.7,61.6,18.94
New Brand_Oban,0.013560208,Potential,Jura,Jura Seven Wood,0,73.7,35.98,41.42
New Brand_Remarkable Regional Malts,-0.530531052,Potential,Laphroaig,Laphroaig Quarter Cask,0,55.7,55.8,0.92
New Brand_Tomatin,0.507863498,Potential,GlenDronach,GlenDronach,12,53,50.4,19.66
,,,Cragganmore,Cragganmore,12,51.5,50.7,3.09
,,,Clynelish,Clynelish,14,60.4,58.8,5.75
,,,Auchentoshan,Auchentoshan,12,48.3,48.3,18.92
,,,Chivas,Chivas,18,77.9,70.5,3.8
,,,Oban,Oban Little Bay,0,70.1,34.23,41.42
,,,Ledaig,Ledaig,0,50.3,53.5,3.94
,,,Rare Malts,Rare Malts,0,309,309,0.55
,,,Talisker,Talisker Port Ruighe,0,66.8,61.7,2.01
,,,GlenDronach,GlenDronach,0,53,53.7,18.73
,,,Edradour,Edradour,0,53.7,49,3.39
,,,GlenDronach,GlenDronach,18,107.4,106.1,19.1
,,,Glenturret,Glenturret,0,61.2,51.1,6.82
,,,The Macallan,The Macallan,12,67,60.5,2.63
,,,The Glenlivet,The Glenlivet Nadurra,0,60.4,62,1.47
,,,Glenglassaugh,Glenglassaugh Revival,0,57.6,50.3,20.88
,,,Jura,Jura,12,57.6,28.12,41.42
,,,The Glenlivet,The Glenlivet,15,73.2,55.7,8.77
,,,The Glenlivet,The Glenlivet,18,120.9,120.9,18.92
,,,Other,Other  Malt,0,309,302.3,0.55
